"x.1","x.2","y"
0.851477022440187,-1.55165797071986,"yes"
1.98644118289634,1.04725823863425,"yes"
1.75070388687348,0.242660488980058,"yes"
1.73303384682216,0.719054275566704,"yes"
0.503199268161715,-0.119002720531496,"yes"
1.462527757541,-2.18939394900129,"yes"
1.73937181961666,-0.797126662179511,"yes"
1.61836095764127,-0.855199972092024,"yes"
0.975875796747396,-0.228634859792349,"yes"
1.99487868418163,-0.795156534897625,"yes"
1.08684117474221,-0.666040026000432,"yes"
1.64806204546917,0.133189063916435,"yes"
1.76059175918047,-2.55460335113199,"yes"
1.59283690332885,-0.434320096899914,"yes"
1.99291103116897,0.267129448609008,"yes"
1.34909228197746,0.0588258022229041,"yes"
0.938094370877213,0.419253247630827,"yes"
2.12628008977605,-1.42167156486803,"yes"
1.23294983820003,0.23053043850383,"yes"
1.88782977578192,-2.08228582934572,"yes"
0.28859583806903,-0.213320968498068,"yes"
1.77540961981025,0.508674700288974,"yes"
1.46276286683727,0.789935588273119,"yes"
1.80806214612411,-1.51384371312033,"yes"
1.32634655985069,-1.49720203094612,"yes"
1.44840449283537,1.12114627494328,"yes"
0.572396946982221,-1.66344465379267,"yes"
1.47108967328555,1.1452900571684,"yes"
1.94342134750177,0.497668294347721,"yes"
0.461665612813301,-0.895946871543493,"yes"
-0.0386160729298157,-0.087655768359641,"yes"
1.97098790569803,-2.22275499142499,"yes"
1.87075535910553,-1.49840014323542,"yes"
2.20337308998787,0.491996784005011,"yes"
1.75669331217524,-2.10668841406669,"yes"
2.24547299026934,-1.67997353947351,"yes"
1.71027086845966,0.811561373063969,"yes"
-0.000763034094644288,-1.12439723276357,"yes"
1.33867867267355,-1.05056143175303,"yes"
1.80518407944487,-1.22341089022113,"yes"
1.52190678029454,0.649700997741092,"yes"
1.5903807199369,0.445346646660936,"yes"
1.92856589960695,-1.34959945400184,"yes"
1.91260244417591,-0.483170482013777,"yes"
0.667696738092205,0.362585970965533,"yes"
1.89147502520895,-0.204767130935273,"yes"
1.36625588112947,-1.59818886328213,"yes"
0.84116778456269,0.213348434262186,"yes"
0.832641456703593,-0.673588368075678,"yes"
1.34185365955262,-2.07430302737099,"yes"
2.28235880192636,-2.04362079257299,"yes"
1.62563882010211,-0.0199178079342274,"yes"
2.02803595476951,-2.0268874369663,"yes"
0.689212119889047,-1.04093157081121,"yes"
1.73125895066731,-1.21532885569624,"yes"
1.11454403210444,-0.154041674232228,"yes"
1.41996717902269,-2.21384386715577,"yes"
1.45967727455566,-1.53082756148077,"yes"
1.31862795641967,-2.04666085668373,"yes"
